Attaching to anvil, nf4_client, nf4_client2, nf4_configuration, nf4_db_client, nf4_db_client2, nf4_db_proposer, nf4_deployer, nf4_proposer, nf4_test
anvil              | Waiting for anvil to be ready... (1)
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: using the "epoll" event method
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: nginx/1.29.1
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14+deb12u1) 
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: OS: Linux 6.8.0-1014-azure
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker processes
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 29
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 30
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 31
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 32
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 33
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 34
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 35
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 36
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 37
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 38
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 39
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 40
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 41
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 42
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 43
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 44
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 45
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 46
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 47
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 48
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 49
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 50
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 51
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 52
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 53
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 54
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 55
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 56
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 57
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 58
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 59
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 60
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 61
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 62
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 63
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 64
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 65
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 66
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 67
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 68
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 69
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 70
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 71
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 72
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 73
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 74
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 75
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 76
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 77
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 78
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 79
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 80
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 81
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 82
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 83
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 84
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 85
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 86
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 87
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 88
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 89
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 90
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 91
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 92
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 93
nf4_configuration  | 2025/08/27 20:49:45 [notice] 1#1: start worker process 94
